timestamp,open,high,low,close,volume,timeframe,source,source_type,is_percentage,lookahead_safe
2025-04-27 20:00:00+00:00,52.601,52.814,52.56,52.755,88.078,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-28 00:00:00+00:00,52.754,53.271,52.653,52.873,271.181,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-28 04:00:00+00:00,52.865,52.896,52.4,52.41,228.343,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-28 08:00:00+00:00,52.415,52.683,52.205,52.636,422.551,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-28 12:00:00+00:00,52.636,53.484,52.636,53.271,512.849,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-28 16:00:00+00:00,53.271,53.415,52.882,52.958,209.58,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-28 20:00:00+00:00,52.958,53.16,52.81,53.1,147.367,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-29 00:00:00+00:00,53.1,53.139,52.871,52.876,190.218,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-29 04:00:00+00:00,52.877,53.098,52.692,52.736,152.981,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-29 08:00:00+00:00,52.747,52.871,52.554,52.819,156.42,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-29 12:00:00+00:00,52.818,53.132,52.801,52.972,228.543,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-29 16:00:00+00:00,52.973,53.112,52.871,53.081,88.049,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-29 20:00:00+00:00,53.088,53.449,53.053,53.259,361.82,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-30 00:00:00+00:00,53.264,53.538,53.145,53.355,278.907,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-30 04:00:00+00:00,53.36,53.7,53.301,53.624,277.499,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-30 08:00:00+00:00,53.623,53.717,53.407,53.448,157.554,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-30 12:00:00+00:00,53.448,54.7,53.432,54.314,801.357,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-30 16:00:00+00:00,54.313,54.46,53.71,53.815,176.462,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-04-30 20:00:00+00:00,53.812,53.865,53.464,53.663,138.281,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-01 00:00:00+00:00,53.663,53.738,53.388,53.691,145.75,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-01 04:00:00+00:00,53.691,53.824,53.554,53.641,114.523,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-01 08:00:00+00:00,53.641,53.687,53.186,53.337,375.209,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-01 12:00:00+00:00,53.33,53.75,53.21,53.694,821.012,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-01 16:00:00+00:00,53.686,53.798,53.558,53.778,120.43,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2025-05-01 20:00:00+00:00,53.774,53.96,53.719,53.9,157.401,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
